"Blue Weiss	Netanya	34"
"TLV 88	Tel Aviv Jaffa	16"
"Indigo	Ramat Gan	91"
"Astral Palma	Eilat	152"
"Artplus	Tel Aviv Jaffa	64"
"Prima Galil	Tiberias	78"
"Little House In Rehavia	Jerusalem	28"
"Jerusalem Inn	Jerusalem	25"
"Dizengoff Suites	Tel Aviv Jaffa	18"
"Sun City	Tel Aviv Jaffa	18"
"Victoria Hotel	Jerusalem	53"
"Eden Tiberias	Tiberias	103"
"Habira	Jerusalem	33"
"Hamakom	Netua	13"
"Pninat Haemek		56"
"Christmas	Jerusalem	34"
"Leonardo Suite Bat-Yam	Bat Yam	107"
"Dizengoff Sea Residence	Tel Aviv Jaffa	22"
"Elma Arts Complex Luxury Hotel	Zikhron Ya'akov	95"
"Serenity on the Mountain	Yir'on	38"
"Market House Hotel	Tel Aviv Jaffa	44"
"Malka Hotel	Jerusalem	24"
"Bat Galim Boutique Hotel	Haifa	12"
"The Sephardichouse	Jerusalem	55"
"Vista Eilat	Eilat	84"
"Eretzefat	Safed 	20"
"Regina Goren	Ashkelon	45"
"Merom Golan Resort Village 		116"
"The Rothschild Hotel (Tel Aviv)	Tel Aviv Jaffa	26"
"Prima Millennium 	Ra'anana	140"
"Ruth Daniel Residence Hotel	Tel Aviv Jaffa	64"
"Jerusalem Gardens - Hotel & Spa	Jerusalem	180"
"Poli House Hotel	Tel Aviv Jaffa	40"
"Isrotel Agamim Hotel	Eilat	320"
"Isrotel King Solomon Hotel	Eilat	420"
"Isrotel Dead Sea	Dead Sea	298"
"Isrotel Sport Club Hotel	Eilat	312"
"Isrotel Royal Beach Hotel	Eilat	363"
"Isrotel Royal Garden	Eilat	343"
"Isrotel Tower Tel Aviv	Tel Aviv Jaffa	90"
"Isrotel Ramon Inn	Mizpe Ramon	96"
"Abratel Suites	Tel Aviv Jaffa	30"
"Orchid Eilat	Eilat	137"
"Island Hotel	Netanya	137"
"Eldan 	Jerusalem	76"
"Alaska Inn	Metula	49"
"Amirey Hagalil	Amirim	17"
"Emelis	Tiberias	48"
"Astral Maris 	Eilat	96"
"Golden Beach	Tel Aviv Jaffa	48"
"Ginot Yam	Netanya	54"
"Galil	Netanya	84"
"Grand Court	Jerusalem	442"
"Dan Tel Aviv	Tel Aviv Jaffa	286"
"Dan Accadia	Herzliya	207"
"Dan Boutique	Jerusalem	129"
"Herods Dead Sea	Dead Sea	223"
"Tabar	Nazareth	90"
"Carmel Forest Spa Resort 		126"
"Kfar Maccabbiah	Ramat Gan	260"
"Leonardo Inn		96"
"Leonardo Beach Tel Aviv	Tel Aviv Jaffa	135"
"Leonardo Jerusalem	Jerusalem	394"
"Leonardo Plaza Eilat	Eilat	301"
"Montefiore	Jerusalem	56"
"Metropolitan	Tel Aviv Jaffa	265"
"Miami 	Tel Aviv Jaffa	25"
"Maxim	Tel Aviv Jaffa	71"
"Mercure	Tel Aviv Jaffa	103"
"Nes Ammim	Nes Ammim	48"
"Sea Net	Tel Aviv Jaffa	70"
"C Hotel Eilat	Eilat	150"
"Prima City	Tel Aviv Jaffa	106"
"Akkotel	Akko (Acre)	16"
"Inbal	Jerusalem	283"
"Prima Music	Eilat	144"
"Prima Palace	Jerusalem	76"
"Prima Tel Aviv	Tel Aviv Jaffa	58"
"Q Hotel	Netanya	50"
"Crowne Plaza Jerusalem	Jerusalem	396"
"Carlton	Tel Aviv Jaffa	286"
"Ramot 	Tiberias	123"
"Sadot	Rishon Lezion	37"
"Shalom Relax	Tel Aviv Jaffa	51"
"Azzahra	Jerusalem	15"
"Efendi	Akko (Acre)	12"
"Astral Village	Eilat	182"
"Shtarkman Erna 	Nahariya	30"
"Crowne Plaza Dead Sea	Dead Sea	304"
"Residence	Netanya	72"
"Berger	Tiberias	42"
"B Berdichevsky	Tel Aviv Jaffa	23"
"Peqiin	Peqi'in (buqei'a)	33"
"Nahsholim Seaside Resort	Nahsholim	152"
"Galilee Hotel	Nazareth	103"
"King Koresh	Netanya	29"
"Legacy	Jerusalem	49"
"Mount Of Olives	Jerusalem	55"
"Desert Irus	Yeroham	47"
"Jerusalem Castle Hotel	Jerusalem	24"
"Prima Spa Club 	Dead Sea	96"
"Hotel Cinema	Tel Aviv Jaffa	83"
"Center Chic Hotel	Tel Aviv Jaffa	54"
"Golden Crown Hotel Old City	Nazareth	100"
"Setai Sea of Galilee	Tiberias	110"
"Ultra Hotel	Tel Aviv Jaffa	29"
"Isrotel Orient	Jerusalem	243"
"Shoresh Green Hills	Jerusalem	40"
"Hotel 75	Tel Aviv Jaffa	20"
"Prima Link	Petach Tikva	119"
"Har Gilboa Olive hotel		42"
"Ibis Jerusalem City Center	Jerusalem	124"
"Comfort Boutique Hotel 	Eilat	98"
"The Setai Tel Aviv	Tel Aviv Jaffa	120"
"Colony Hotel Haifa	Haifa	40"
"Market Hotel Haifa	Haifa	98"
"Gan Ba’eden	Tirat Tzvi	19"
"Nofei Habashan 	Lehavot HaBashan	27"
"Yehuda Hotel 	Jerusalem	129"
"The David Citadel Hotel	Jerusalem	385"
"Isrotel Ganim		203"
"Cramim Resort & Spa	Kiryat Anavim	155"
"Isrotel Lagoona All Inclusive	Eilat	256"
"Ambassador	Jerusalem	119"
